lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
1.0,291.0,142.0,166.0,172.0,228.0,51.3,48.7,1.23,9.0,6.4,12.0,273.0,182.0,180.0,65.0
2.0,275.0,175.0,182.0,177.0,224.0,50.8,49.2,1.25,9.1,7.1,15.0,273.0,179.0,180.0,65.0
3.0,280.0,185.0,190.0,174.0,227.0,50.9,49.1,1.23,9.2,7.3,16.0,273.0,177.0,180.0,65.0
4.0,307.0,192.0,193.0,174.0,233.0,50.8,49.2,1.17,9.1,7.5,18.0,283.0,176.0,180.0,65.0
5.0,316.0,193.0,194.0,172.0,245.0,51.5,48.5,1.1,9.0,8.0,17.0,310.0,173.0,180.0,65.0
6.0,325.0,194.0,196.0,172.0,245.0,51.6,48.4,1.11,9.0,7.9,19.0,301.0,175.0,180.0,65.0
7.0,325.0,186.0,188.0,172.0,249.0,52.2,47.8,1.06,8.9,8.2,17.0,330.0,173.0,180.0,65.0
8.0,333.0,189.0,191.0,171.0,251.0,52.3,47.7,1.05,8.8,8.1,18.0,322.0,173.0,180.0,65.0
9.0,330.0,191.0,192.0,171.0,252.0,52.6,47.4,1.07,9.0,8.1,18.0,318.0,172.0,180.0,65.0
10.0,354.0,193.0,195.0,170.0,259.0,52.2,47.8,1.01,8.7,8.4,20.0,329.0,172.0,180.0,65.0
11.0,365.0,190.0,193.0,170.0,265.0,51.2,48.8,0.96,8.6,8.8,21.0,356.0,171.0,180.0,65.0
12.0,374.0,191.0,193.0,170.0,266.0,51.5,48.5,0.95,8.5,8.8,21.0,363.0,171.0,180.0,65.0
13.0,360.0,192.0,193.0,170.0,265.0,51.4,48.6,0.98,8.8,8.8,20.0,362.0,172.0,180.0,65.0
14.0,377.0,193.0,196.0,169.0,271.0,51.0,49.0,0.97,8.4,8.5,21.0,349.0,171.0,180.0,65.0
15.0,400.0,190.0,193.0,169.0,277.0,50.4,49.6,0.9,8.1,8.8,22.0,376.0,171.0,180.0,65.0
1.0,225.0,112.0,122.0,182.0,212.0,50.6,49.4,1.32,7.3,6.3,5.0,167.0,205.0,180.0,65.0
2.0,257.0,136.0,146.0,184.0,211.0,50.7,49.3,1.25,7.7,5.9,9.0,253.0,186.0,180.0,65.0
3.0,274.0,149.0,152.0,181.0,228.0,50.5,49.5,1.12,7.7,6.6,12.0,277.0,184.0,180.0,65.0
4.0,266.0,150.0,153.0,181.0,222.0,50.7,49.3,1.21,7.6,6.2,13.0,237.0,185.0,180.0,65.0
5.0,313.0,159.0,165.0,178.0,235.0,51.0,49.0,1.16,7.9,6.6,14.0,247.0,182.0,180.0,65.0
6.0,293.0,156.0,162.0,179.0,230.0,51.2,48.8,1.12,7.8,6.8,11.0,281.0,184.0,180.0,65.0
