lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
1.0,258.0,159.0,175.0,134.0,202.0,48.5,51.5,1.46,8.2,7.8,11.0,232.0,166.0,175.0,68.0
2.0,260.0,181.0,185.0,165.0,203.0,48.8,51.2,1.47,10.8,7.1,13.0,233.0,166.0,175.0,68.0
3.0,252.0,187.0,188.0,162.0,206.0,49.1,50.9,1.47,11.1,7.3,12.0,246.0,164.0,175.0,68.0
4.0,266.0,190.0,191.0,162.0,207.0,49.2,50.8,1.39,11.2,7.8,13.0,261.0,163.0,175.0,68.0
5.0,265.0,190.0,192.0,161.0,208.0,48.9,51.1,1.41,11.2,7.7,13.0,256.0,163.0,175.0,68.0
6.0,271.0,192.0,193.0,160.0,212.0,49.4,50.6,1.37,11.3,8.1,14.0,268.0,162.0,175.0,68.0
7.0,280.0,193.0,194.0,160.0,214.0,49.7,50.3,1.36,11.2,8.0,14.0,273.0,162.0,175.0,68.0
8.0,261.0,195.0,196.0,161.0,212.0,50.0,50.0,1.39,11.0,7.7,14.0,252.0,163.0,175.0,68.0
9.0,272.0,194.0,196.0,160.0,215.0,49.8,50.2,1.4,11.2,7.8,14.0,254.0,162.0,175.0,68.0
10.0,265.0,197.0,198.0,161.0,217.0,49.5,50.5,1.4,11.2,7.7,14.0,258.0,162.0,175.0,68.0
11.0,277.0,197.0,198.0,160.0,218.0,49.7,50.3,1.35,11.4,8.1,15.0,265.0,161.0,175.0,68.0
12.0,270.0,198.0,199.0,161.0,217.0,49.8,50.2,1.39,11.0,7.7,14.0,264.0,164.0,175.0,68.0
13.0,266.0,199.0,199.0,161.0,217.0,49.7,50.3,1.35,11.0,7.9,14.0,259.0,162.0,175.0,68.0
14.0,260.0,199.0,200.0,162.0,214.0,49.8,50.2,1.42,10.8,7.4,14.0,261.0,164.0,175.0,68.0
15.0,264.0,201.0,202.0,163.0,215.0,49.8,50.2,1.41,10.8,7.5,14.0,256.0,164.0,175.0,68.0
