lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
1.0,237.0,127.0,149.0,165.0,215.0,48.7,51.3,1.47,10.5,9.7,6.0,206.0,172.0,169.0,57.0
2.0,242.0,151.0,160.0,170.0,199.0,49.8,50.2,1.5,10.6,6.8,11.0,226.0,172.0,169.0,57.0
3.0,264.0,180.0,196.0,170.0,199.0,49.9,50.1,1.39,10.6,7.3,11.0,235.0,171.0,169.0,57.0
4.0,283.0,195.0,197.0,170.0,206.0,49.8,50.2,1.28,10.4,7.9,12.0,268.0,174.0,169.0,57.0
5.0,275.0,195.0,198.0,171.0,207.0,49.8,50.2,1.27,10.3,7.8,12.0,279.0,172.0,169.0,57.0
6.0,296.0,197.0,198.0,172.0,219.0,49.5,50.5,1.23,10.0,7.8,13.0,282.0,175.0,169.0,57.0
7.0,289.0,196.0,196.0,175.0,214.0,49.7,50.3,1.17,9.6,7.9,12.0,292.0,177.0,169.0,57.0
8.0,284.0,195.0,197.0,175.0,214.0,49.9,50.1,1.21,9.7,7.7,12.0,290.0,177.0,169.0,57.0
9.0,292.0,196.0,197.0,174.0,214.0,49.8,50.2,1.19,9.8,7.9,13.0,290.0,177.0,169.0,57.0
10.0,287.0,197.0,197.0,174.0,217.0,49.7,50.3,1.17,9.7,8.1,12.0,293.0,176.0,169.0,57.0
11.0,305.0,197.0,198.0,174.0,215.0,49.5,50.5,1.14,10.0,8.4,13.0,292.0,175.0,169.0,57.0
12.0,314.0,196.0,197.0,174.0,217.0,49.3,50.7,1.12,9.9,8.5,13.0,304.0,176.0,169.0,57.0
13.0,311.0,197.0,199.0,174.0,213.0,49.6,50.4,1.13,10.0,8.5,13.0,306.0,175.0,169.0,57.0
14.0,307.0,197.0,199.0,174.0,214.0,49.6,50.4,1.11,10.0,8.7,13.0,299.0,176.0,169.0,57.0
15.0,263.0,201.0,203.0,176.0,212.0,49.6,50.4,1.24,9.7,7.6,12.0,270.0,179.0,169.0,57.0
1.0,251.0,157.0,173.0,186.0,193.0,49.7,50.3,1.28,7.0,5.7,7.0,227.0,216.0,169.0,57.0
2.0,229.0,180.0,183.0,188.0,196.0,50.6,49.4,1.34,7.1,5.1,8.0,241.0,189.0,169.0,57.0
3.0,235.0,185.0,186.0,186.0,200.0,51.1,48.9,1.34,7.3,5.2,8.0,236.0,188.0,169.0,57.0
4.0,236.0,188.0,189.0,186.0,201.0,51.1,48.9,1.34,7.3,5.2,8.0,236.0,188.0,169.0,57.0
5.0,240.0,190.0,191.0,187.0,199.0,51.4,48.6,1.35,7.4,5.3,8.0,230.0,189.0,169.0,57.0
6.0,235.0,192.0,193.0,186.0,200.0,50.6,49.4,1.34,7.3,5.3,8.0,230.0,188.0,169.0,57.0
7.0,243.0,195.0,196.0,186.0,200.0,51.3,48.7,1.34,7.5,5.3,9.0,233.0,188.0,169.0,57.0
8.0,238.0,196.0,196.0,187.0,201.0,51.6,48.4,1.33,7.4,5.3,9.0,238.0,188.0,169.0,57.0
9.0,240.0,197.0,197.0,186.0,200.0,52.0,48.0,1.34,7.4,5.3,9.0,238.0,188.0,169.0,57.0
10.0,230.0,197.0,199.0,187.0,198.0,52.1,47.9,1.37,7.4,5.2,8.0,235.0,188.0,169.0,57.0
11.0,242.0,199.0,199.0,186.0,200.0,52.5,47.5,1.35,7.5,5.3,9.0,235.0,188.0,169.0,57.0
12.0,239.0,199.0,200.0,186.0,199.0,52.6,47.4,1.36,7.4,5.2,9.0,235.0,188.0,169.0,57.0
13.0,236.0,200.0,202.0,186.0,197.0,52.7,47.3,1.35,7.5,5.3,9.0,234.0,189.0,169.0,57.0
14.0,233.0,202.0,202.0,187.0,200.0,51.9,48.1,1.38,7.3,5.1,9.0,231.0,188.0,169.0,57.0
15.0,231.0,204.0,205.0,187.0,198.0,51.8,48.2,1.39,7.3,5.0,9.0,230.0,189.0,169.0,57.0
1.0,319.0,122.0,140.0,170.0,222.0,49.0,51.0,1.02,9.4,9.5,9.0,292.0,178.0,169.0,57.0
